shipment_id,expected_eta_hours,actual_hours,sla_utilization,breach_probability,risk_level
SHIP-2026-05311,72,183.85,2.553,0.806,CRITICAL
SHIP-2026-05312,39,350.77,8.994,0.946,CRITICAL
SHIP-2026-05313,33,462.52,14.016,0.764,CRITICAL
SHIP-2026-05314,33,483.0,14.636,0.811,CRITICAL
SHIP-2026-05315,83,1319.78,15.901,0.875,CRITICAL
SHIP-2026-05316,35,945.03,27.001,0.752,CRITICAL
SHIP-2026-05317,41,1369.07,33.392,0.788,CRITICAL
SHIP-2026-05318,107,472.4,4.415,0.953,CRITICAL
SHIP-2026-05319,30,1210.42,40.347,0.879,CRITICAL
SHIP-2026-05320,45,90.42,2.009,0.793,CRITICAL
SHIP-2026-05321,34,1365.92,40.174,0.823,CRITICAL
SHIP-2026-05322,63,46.17,0.733,0.408,MEDIUM
SHIP-2026-05323,33,770.3,23.342,0.831,CRITICAL
SHIP-2026-05324,95,515.27,5.424,0.812,CRITICAL
SHIP-2026-05325,58,35.2,0.607,0.331,MEDIUM
SHIP-2026-05326,103,900.4,8.742,0.916,CRITICAL
SHIP-2026-05327,114,435.3,3.818,0.844,CRITICAL
SHIP-2026-05328,36,507.13,14.087,0.932,CRITICAL
SHIP-2026-05329,113,260.78,2.308,0.99,CRITICAL
SHIP-2026-05330,27,1442.72,53.434,0.791,CRITICAL
SHIP-2026-05331,52,931.63,17.916,0.744,HIGH
SHIP-2026-05332,77,199.05,2.585,0.948,CRITICAL
SHIP-2026-05333,75,694.07,9.254,0.921,CRITICAL
SHIP-2026-05334,74,615.48,8.317,0.929,CRITICAL
SHIP-2026-05335,38,427.4,11.247,0.814,CRITICAL
SHIP-2026-05336,56,1190.62,21.261,0.809,CRITICAL
SHIP-2026-05337,25,1421.57,56.863,0.936,CRITICAL
SHIP-2026-05338,94,594.47,6.324,0.939,CRITICAL
SHIP-2026-05339,32,752.82,23.526,0.755,CRITICAL
SHIP-2026-05340,87,354.97,4.08,0.891,CRITICAL
SHIP-2026-05341,81,937.72,11.577,0.825,CRITICAL
SHIP-2026-05342,68,86.13,1.267,0.912,CRITICAL
SHIP-2026-05343,116,97.63,0.842,0.471,MEDIUM
SHIP-2026-05344,114,706.08,6.194,0.938,CRITICAL
SHIP-2026-05345,81,374.57,4.624,0.813,CRITICAL
SHIP-2026-05346,93,811.63,8.727,0.747,HIGH
SHIP-2026-05347,80,696.95,8.712,0.965,CRITICAL
SHIP-2026-05348,53,492.47,9.292,0.839,CRITICAL
SHIP-2026-05349,94,135.82,1.445,0.803,CRITICAL
SHIP-2026-05350,116,1144.43,9.866,0.921,CRITICAL
SHIP-2026-05351,84,360.2,4.288,0.845,CRITICAL
SHIP-2026-05352,30,43.27,1.442,0.875,CRITICAL
SHIP-2026-05353,92,1186.23,12.894,0.855,CRITICAL
SHIP-2026-05354,93,148.1,1.592,0.99,CRITICAL
SHIP-2026-05355,88,1336.65,15.189,0.865,CRITICAL
SHIP-2026-05356,54,1248.37,23.118,0.921,CRITICAL
SHIP-2026-05357,41,805.65,19.65,0.982,CRITICAL
SHIP-2026-05358,30,130.13,4.338,0.826,CRITICAL
SHIP-2026-05359,50,496.73,9.935,0.93,CRITICAL
SHIP-2026-05360,77,989.5,12.851,0.936,CRITICAL
SHIP-2026-05361,38,1282.45,33.749,0.876,CRITICAL
SHIP-2026-05362,82,394.47,4.811,0.838,CRITICAL
SHIP-2026-05363,88,434.0,4.932,0.926,CRITICAL
SHIP-2026-05364,70,973.38,13.905,0.767,CRITICAL
SHIP-2026-05365,113,671.07,5.939,0.761,CRITICAL
SHIP-2026-05366,99,717.18,7.244,0.935,CRITICAL
SHIP-2026-05367,89,1377.72,15.48,0.961,CRITICAL
SHIP-2026-05368,44,524.75,11.926,0.855,CRITICAL
SHIP-2026-05369,78,1279.83,16.408,0.939,CRITICAL
SHIP-2026-05370,92,1136.82,12.357,0.731,HIGH
SHIP-2026-05371,33,1073.93,32.543,0.8,CRITICAL
SHIP-2026-05372,28,1091.07,38.967,0.958,CRITICAL
SHIP-2026-05373,80,959.37,11.992,0.933,CRITICAL
SHIP-2026-05374,29,1200.23,41.387,0.727,HIGH
SHIP-2026-05375,50,412.58,8.252,0.99,CRITICAL
SHIP-2026-05376,70,162.37,2.32,0.765,CRITICAL
SHIP-2026-05377,51,1038.62,20.365,0.931,CRITICAL
SHIP-2026-05378,64,1356.15,21.19,0.89,CRITICAL
SHIP-2026-05379,50,1360.32,27.206,0.853,CRITICAL
SHIP-2026-05380,26,919.63,35.37,0.987,CRITICAL
SHIP-2026-05381,72,832.53,11.563,0.781,CRITICAL
SHIP-2026-05382,58,725.77,12.513,0.842,CRITICAL
SHIP-2026-05383,32,859.58,26.862,0.826,CRITICAL
SHIP-2026-05384,40,1161.35,29.034,0.894,CRITICAL
SHIP-2026-05385,61,1374.97,22.54,0.774,CRITICAL
SHIP-2026-05386,58,90.58,1.562,0.863,CRITICAL
SHIP-2026-05387,80,56.42,0.705,0.458,MEDIUM
SHIP-2026-05388,41,888.67,21.675,0.843,CRITICAL
SHIP-2026-05389,81,941.03,11.618,0.794,CRITICAL
SHIP-2026-05390,75,380.1,5.068,0.99,CRITICAL
SHIP-2026-05391,48,78.8,1.642,0.751,CRITICAL
SHIP-2026-05392,22,1420.95,64.589,0.754,CRITICAL
SHIP-2026-05393,38,722.02,19.001,0.81,CRITICAL
SHIP-2026-05394,65,635.13,9.771,0.919,CRITICAL
SHIP-2026-05395,112,984.07,8.786,0.842,CRITICAL
SHIP-2026-05396,49,258.98,5.285,0.744,HIGH
SHIP-2026-05397,68,1356.75,19.952,0.894,CRITICAL
SHIP-2026-05398,73,233.9,3.204,0.91,CRITICAL
SHIP-2026-05399,19,1305.4,68.705,0.831,CRITICAL
SHIP-2026-05400,64,577.83,9.029,0.916,CRITICAL
SHIP-2026-05401,54,104.12,1.928,0.849,CRITICAL
SHIP-2026-05402,87,789.27,9.072,0.765,CRITICAL
SHIP-2026-05403,74,95.37,1.289,0.757,CRITICAL
SHIP-2026-05404,51,707.47,13.872,0.76,CRITICAL
SHIP-2026-05405,62,978.8,15.787,0.747,HIGH
SHIP-2026-05406,50,801.57,16.031,0.986,CRITICAL
SHIP-2026-05407,58,442.88,7.636,0.981,CRITICAL
SHIP-2026-05408,44,38.9,0.884,0.609,HIGH
SHIP-2026-05409,22,398.37,18.108,0.844,CRITICAL
SHIP-2026-05410,75,328.13,4.375,0.917,CRITICAL
SHIP-2026-05411,68,1283.53,18.875,0.99,CRITICAL
SHIP-2026-05412,67,1320.57,19.71,0.844,CRITICAL
SHIP-2026-05413,73,149.82,2.052,0.77,CRITICAL
SHIP-2026-05414,34,501.88,14.761,0.88,CRITICAL
SHIP-2026-05415,48,675.73,14.078,0.907,CRITICAL
SHIP-2026-05416,39,347.13,8.901,0.818,CRITICAL
SHIP-2026-05417,16,170.0,10.625,0.742,HIGH
SHIP-2026-05418,49,647.88,13.222,0.846,CRITICAL
SHIP-2026-05419,57,858.35,15.059,0.947,CRITICAL
SHIP-2026-05420,19,710.98,37.42,0.746,HIGH
SHIP-2026-05421,73,132.67,1.817,0.865,CRITICAL
SHIP-2026-05422,73,1128.1,15.453,0.889,CRITICAL
SHIP-2026-05423,42,548.82,13.067,0.893,CRITICAL
SHIP-2026-05424,56,92.32,1.649,0.882,CRITICAL
SHIP-2026-05425,97,572.68,5.904,0.887,CRITICAL
SHIP-2026-05426,106,604.98,5.707,0.877,CRITICAL
SHIP-2026-05427,43,503.73,11.715,0.868,CRITICAL
SHIP-2026-05428,43,1442.67,33.55,0.917,CRITICAL
SHIP-2026-05429,69,370.45,5.369,0.828,CRITICAL
SHIP-2026-05430,41,748.3,18.251,0.809,CRITICAL
SHIP-2026-05431,79,161.52,2.045,0.755,CRITICAL
SHIP-2026-05432,30,211.67,7.056,0.99,CRITICAL
SHIP-2026-05433,28,935.67,33.417,0.925,CRITICAL
SHIP-2026-05434,51,849.37,16.654,0.772,CRITICAL
SHIP-2026-05435,33,1374.23,41.643,0.82,CRITICAL
SHIP-2026-05436,75,612.23,8.163,0.89,CRITICAL
SHIP-2026-05437,37,1406.45,38.012,0.815,CRITICAL
SHIP-2026-05438,71,802.8,11.307,0.965,CRITICAL
SHIP-2026-05439,53,699.25,13.193,0.728,HIGH
SHIP-2026-05440,44,46.67,1.061,0.891,CRITICAL
SHIP-2026-05441,44,1042.75,23.699,0.854,CRITICAL
SHIP-2026-05442,79,175.57,2.222,0.814,CRITICAL
SHIP-2026-05443,55,823.2,14.967,0.886,CRITICAL
SHIP-2026-05444,116,201.87,1.74,0.99,CRITICAL
SHIP-2026-05445,57,1355.85,23.787,0.817,CRITICAL
SHIP-2026-05446,85,152.1,1.789,0.856,CRITICAL
SHIP-2026-05447,91,453.82,4.987,0.806,CRITICAL
SHIP-2026-05448,117,800.3,6.84,0.89,CRITICAL
SHIP-2026-05449,66,100.93,1.529,0.735,HIGH
SHIP-2026-05450,30,307.0,10.233,0.806,CRITICAL
SHIP-2026-05451,96,872.0,9.083,0.977,CRITICAL
SHIP-2026-05452,71,884.03,12.451,0.849,CRITICAL
SHIP-2026-05453,20,52.73,2.636,0.785,CRITICAL
SHIP-2026-05454,49,970.58,19.808,0.875,CRITICAL
SHIP-2026-05455,72,629.43,8.742,0.948,CRITICAL
SHIP-2026-05456,97,22.25,0.229,0.146,LOW
SHIP-2026-05457,75,828.92,11.052,0.99,CRITICAL
SHIP-2026-05458,31,14.07,0.454,0.141,LOW
SHIP-2026-05459,37,1342.62,36.287,0.769,CRITICAL
SHIP-2026-05460,45,410.37,9.119,0.99,CRITICAL
SHIP-2026-05461,46,719.13,15.633,0.939,CRITICAL
SHIP-2026-05462,28,521.82,18.636,0.857,CRITICAL
SHIP-2026-05463,59,1004.28,17.022,0.923,CRITICAL
SHIP-2026-05464,65,1447.38,22.267,0.829,CRITICAL
SHIP-2026-05465,31,396.68,12.796,0.99,CRITICAL
SHIP-2026-05466,59,538.97,9.135,0.99,CRITICAL
SHIP-2026-05467,57,431.62,7.572,0.764,CRITICAL
SHIP-2026-05468,108,874.67,8.099,0.855,CRITICAL
SHIP-2026-05469,63,512.98,8.143,0.76,CRITICAL
SHIP-2026-05470,77,520.32,6.757,0.888,CRITICAL
SHIP-2026-05471,67,629.58,9.397,0.817,CRITICAL
SHIP-2026-05472,90,1013.02,11.256,0.882,CRITICAL
SHIP-2026-05473,46,138.95,3.021,0.801,CRITICAL
SHIP-2026-05474,67,1027.13,15.33,0.753,CRITICAL
SHIP-2026-05475,34,667.77,19.64,0.854,CRITICAL
SHIP-2026-05476,21,1300.28,61.918,0.868,CRITICAL
SHIP-2026-05477,23,203.12,8.831,0.822,CRITICAL
SHIP-2026-05478,67,1189.05,17.747,0.723,HIGH
SHIP-2026-05479,102,831.52,8.152,0.913,CRITICAL
SHIP-2026-05480,101,213.57,2.115,0.728,HIGH
SHIP-2026-05481,107,368.68,3.446,0.851,CRITICAL
SHIP-2026-05482,72,69.15,0.96,0.728,HIGH
SHIP-2026-05483,67,325.58,4.859,0.852,CRITICAL
SHIP-2026-05484,35,575.37,16.439,0.769,CRITICAL
SHIP-2026-05485,60,47.45,0.791,0.329,MEDIUM
SHIP-2026-05486,56,472.5,8.438,0.848,CRITICAL
SHIP-2026-05487,88,396.68,4.508,0.789,CRITICAL
SHIP-2026-05488,35,210.27,6.008,0.817,CRITICAL
SHIP-2026-05489,51,435.73,8.544,0.931,CRITICAL
SHIP-2026-05490,69,721.45,10.456,0.941,CRITICAL
SHIP-2026-05491,60,305.68,5.095,0.83,CRITICAL
SHIP-2026-05492,46,282.55,6.142,0.897,CRITICAL
SHIP-2026-05493,102,1310.77,12.851,0.824,CRITICAL
SHIP-2026-05494,53,438.4,8.272,0.936,CRITICAL
SHIP-2026-05495,17,152.23,8.955,0.89,CRITICAL
SHIP-2026-05496,24,969.82,40.409,0.784,CRITICAL
SHIP-2026-05497,58,983.08,16.95,0.75,CRITICAL
SHIP-2026-05498,64,813.05,12.704,0.88,CRITICAL
SHIP-2026-05499,105,1390.47,13.243,0.871,CRITICAL
SHIP-2026-05500,36,205.02,5.695,0.865,CRITICAL
SHIP-2026-05501,54,1412.85,26.164,0.834,CRITICAL
SHIP-2026-05502,114,874.38,7.67,0.874,CRITICAL
SHIP-2026-05503,84,63.55,0.757,0.301,MEDIUM
SHIP-2026-05504,18,149.78,8.321,0.822,CRITICAL
SHIP-2026-05505,38,293.85,7.733,0.839,CRITICAL
SHIP-2026-05506,55,1287.07,23.401,0.936,CRITICAL
SHIP-2026-05507,69,507.97,7.362,0.83,CRITICAL
SHIP-2026-05508,110,1057.15,9.61,0.887,CRITICAL
SHIP-2026-05509,109,576.82,5.292,0.897,CRITICAL
SHIP-2026-05510,42,320.72,7.636,0.764,CRITICAL
SHIP-2026-05511,37,608.07,16.434,0.842,CRITICAL
SHIP-2026-05512,52,219.38,4.219,0.93,CRITICAL
SHIP-2026-05513,79,724.68,9.173,0.845,CRITICAL
SHIP-2026-05514,33,827.17,25.066,0.834,CRITICAL
SHIP-2026-05515,21,999.15,47.579,0.818,CRITICAL
SHIP-2026-05516,43,1164.95,27.092,0.758,CRITICAL
SHIP-2026-05517,85,1000.97,11.776,0.99,CRITICAL
SHIP-2026-05518,34,783.03,23.03,0.933,CRITICAL
SHIP-2026-05519,36,1451.42,40.317,0.914,CRITICAL
SHIP-2026-05520,80,954.82,11.935,0.799,CRITICAL
SHIP-2026-05521,25,1091.52,43.661,0.922,CRITICAL
SHIP-2026-05522,78,620.4,7.954,0.813,CRITICAL
SHIP-2026-05523,63,1355.02,21.508,0.778,CRITICAL
SHIP-2026-05524,30,538.55,17.952,0.777,CRITICAL
SHIP-2026-05525,72,1338.52,18.591,0.928,CRITICAL
SHIP-2026-05526,74,437.03,5.906,0.838,CRITICAL
SHIP-2026-05527,117,1321.87,11.298,0.99,CRITICAL
SHIP-2026-05528,29,522.08,18.003,0.859,CRITICAL
SHIP-2026-05529,54,1276.58,23.64,0.826,CRITICAL
SHIP-2026-05530,64,1035.28,16.176,0.95,CRITICAL
SHIP-2026-05531,78,224.78,2.882,0.882,CRITICAL
SHIP-2026-05532,31,1060.82,34.22,0.85,CRITICAL
SHIP-2026-05533,42,811.17,19.314,0.945,CRITICAL
SHIP-2026-05534,47,1002.88,21.338,0.99,CRITICAL
SHIP-2026-05535,79,922.4,11.676,0.758,CRITICAL
SHIP-2026-05536,37,647.52,17.501,0.914,CRITICAL
SHIP-2026-05537,99,578.95,5.848,0.99,CRITICAL
SHIP-2026-05538,115,607.95,5.287,0.913,CRITICAL
SHIP-2026-05539,77,1114.45,14.473,0.851,CRITICAL
SHIP-2026-05540,37,653.62,17.665,0.938,CRITICAL
SHIP-2026-05541,29,839.78,28.958,0.885,CRITICAL
SHIP-2026-05542,120,259.17,2.16,0.843,CRITICAL
SHIP-2026-05543,91,778.18,8.551,0.909,CRITICAL
SHIP-2026-05544,59,1032.82,17.505,0.851,CRITICAL
SHIP-2026-05545,52,101.32,1.948,0.891,CRITICAL
SHIP-2026-05546,120,693.02,5.775,0.84,CRITICAL
SHIP-2026-05547,59,421.97,7.152,0.844,CRITICAL
SHIP-2026-05548,111,179.98,1.621,0.89,CRITICAL
SHIP-2026-05549,54,1219.08,22.576,0.931,CRITICAL
SHIP-2026-05550,79,908.78,11.504,0.825,CRITICAL
SHIP-2026-05551,107,543.13,5.076,0.766,CRITICAL
SHIP-2026-05552,60,17.43,0.29,0.121,LOW
SHIP-2026-05553,90,446.77,4.964,0.84,CRITICAL
SHIP-2026-05554,56,996.92,17.802,0.736,HIGH
SHIP-2026-05555,56,1317.0,23.518,0.99,CRITICAL
SHIP-2026-05556,68,1203.78,17.703,0.813,CRITICAL
SHIP-2026-05557,18,993.07,55.171,0.803,CRITICAL
SHIP-2026-05558,56,1441.78,25.746,0.917,CRITICAL
SHIP-2026-05559,69,656.17,9.51,0.861,CRITICAL
SHIP-2026-05560,61,658.28,10.791,0.85,CRITICAL
SHIP-2026-05561,110,345.92,3.145,0.816,CRITICAL
SHIP-2026-05562,110,238.28,2.166,0.95,CRITICAL
SHIP-2026-05563,117,984.65,8.416,0.811,CRITICAL
SHIP-2026-05564,23,557.78,24.251,0.737,HIGH
SHIP-2026-05565,28,85.47,3.052,0.773,CRITICAL
SHIP-2026-05566,25,967.03,38.681,0.879,CRITICAL
SHIP-2026-05567,63,1105.1,17.541,0.735,HIGH
SHIP-2026-05568,30,932.32,31.077,0.939,CRITICAL
SHIP-2026-05569,101,416.62,4.125,0.99,CRITICAL
SHIP-2026-05570,27,1058.77,39.214,0.889,CRITICAL
SHIP-2026-05571,66,46.43,0.703,0.38,MEDIUM
SHIP-2026-05572,29,697.7,24.059,0.824,CRITICAL
SHIP-2026-05573,45,552.22,12.272,0.78,CRITICAL
SHIP-2026-05574,30,624.82,20.827,0.905,CRITICAL
SHIP-2026-05575,70,400.23,5.718,0.93,CRITICAL
SHIP-2026-05576,74,1108.98,14.986,0.942,CRITICAL
SHIP-2026-05577,71,828.12,11.664,0.871,CRITICAL
SHIP-2026-05578,101,1299.27,12.864,0.958,CRITICAL
SHIP-2026-05579,59,603.68,10.232,0.812,CRITICAL
SHIP-2026-05580,92,1450.37,15.765,0.725,HIGH
SHIP-2026-05581,63,1370.18,21.749,0.834,CRITICAL
SHIP-2026-05582,25,1271.78,50.871,0.923,CRITICAL
SHIP-2026-05583,78,487.87,6.255,0.962,CRITICAL
SHIP-2026-05584,101,1462.88,14.484,0.943,CRITICAL
SHIP-2026-05585,85,1218.13,14.331,0.874,CRITICAL
SHIP-2026-05586,35,526.62,15.046,0.786,CRITICAL
SHIP-2026-05587,25,1090.87,43.635,0.911,CRITICAL
SHIP-2026-05588,22,838.45,38.111,0.821,CRITICAL
SHIP-2026-05589,76,58.07,0.764,0.448,MEDIUM
SHIP-2026-05590,93,288.78,3.105,0.884,CRITICAL
SHIP-2026-05591,76,770.0,10.132,0.99,CRITICAL
SHIP-2026-05592,114,971.08,8.518,0.771,CRITICAL
SHIP-2026-05593,71,714.18,10.059,0.99,CRITICAL
SHIP-2026-05594,49,1294.4,26.416,0.919,CRITICAL
SHIP-2026-05595,49,1036.4,21.151,0.865,CRITICAL
SHIP-2026-05596,97,120.58,1.243,0.81,CRITICAL
SHIP-2026-05597,57,615.22,10.793,0.808,CRITICAL
SHIP-2026-05598,29,1266.63,43.677,0.827,CRITICAL
SHIP-2026-05599,120,22.35,0.186,0.119,LOW
SHIP-2026-05600,86,1051.05,12.222,0.908,CRITICAL
SHIP-2026-05601,93,539.95,5.806,0.99,CRITICAL
SHIP-2026-05602,36,390.43,10.845,0.841,CRITICAL
SHIP-2026-05603,28,602.62,21.522,0.753,CRITICAL
SHIP-2026-05604,58,760.27,13.108,0.884,CRITICAL
SHIP-2026-05605,74,886.08,11.974,0.824,CRITICAL
SHIP-2026-05606,80,1077.83,13.473,0.922,CRITICAL
SHIP-2026-05607,82,518.37,6.322,0.921,CRITICAL
SHIP-2026-05608,24,1265.42,52.726,0.795,CRITICAL
SHIP-2026-05609,56,449.45,8.026,0.8,CRITICAL
SHIP-2026-05610,39,1186.07,30.412,0.892,CRITICAL
SHIP-2026-05611,37,744.55,20.123,0.834,CRITICAL
SHIP-2026-05612,63,818.9,12.998,0.902,CRITICAL
SHIP-2026-05613,53,387.87,7.318,0.903,CRITICAL
SHIP-2026-05614,37,1096.57,29.637,0.838,CRITICAL
SHIP-2026-05615,77,756.27,9.822,0.749,HIGH
SHIP-2026-05616,115,1149.75,9.998,0.934,CRITICAL
SHIP-2026-05617,108,1061.48,9.829,0.902,CRITICAL
SHIP-2026-05618,42,512.82,12.21,0.909,CRITICAL
SHIP-2026-05619,77,1133.55,14.721,0.912,CRITICAL
SHIP-2026-05620,42,1370.75,32.637,0.9,CRITICAL
SHIP-2026-05621,28,1026.47,36.66,0.99,CRITICAL
SHIP-2026-05622,32,825.58,25.799,0.831,CRITICAL
SHIP-2026-05623,39,1126.9,28.895,0.81,CRITICAL
SHIP-2026-05624,58,937.53,16.164,0.774,CRITICAL
SHIP-2026-05625,51,1158.1,22.708,0.872,CRITICAL
SHIP-2026-05626,53,249.98,4.717,0.722,HIGH
SHIP-2026-05627,31,623.7,20.119,0.915,CRITICAL
SHIP-2026-05628,19,623.0,32.789,0.918,CRITICAL
SHIP-2026-05629,45,589.92,13.109,0.925,CRITICAL
SHIP-2026-05630,87,1139.9,13.102,0.956,CRITICAL
SHIP-2026-05631,116,981.32,8.46,0.834,CRITICAL
SHIP-2026-05632,31,798.78,25.767,0.823,CRITICAL
SHIP-2026-05633,76,451.55,5.941,0.855,CRITICAL
SHIP-2026-05634,26,1049.75,40.375,0.738,HIGH
SHIP-2026-05635,33,38.95,1.18,0.735,HIGH
SHIP-2026-05636,28,805.02,28.751,0.867,CRITICAL
SHIP-2026-05637,55,101.63,1.848,0.865,CRITICAL
SHIP-2026-05638,99,774.2,7.82,0.806,CRITICAL
SHIP-2026-05639,80,227.02,2.838,0.907,CRITICAL
SHIP-2026-05640,68,923.87,13.586,0.736,HIGH
SHIP-2026-05641,36,682.35,18.954,0.743,HIGH
SHIP-2026-05642,109,1081.68,9.924,0.92,CRITICAL
SHIP-2026-05643,23,413.27,17.968,0.937,CRITICAL
SHIP-2026-05644,76,235.33,3.096,0.803,CRITICAL
SHIP-2026-05645,76,633.57,8.336,0.937,CRITICAL
SHIP-2026-05646,28,726.05,25.93,0.772,CRITICAL
SHIP-2026-05647,88,1016.82,11.555,0.99,CRITICAL
SHIP-2026-05648,77,493.72,6.412,0.807,CRITICAL
SHIP-2026-05649,25,799.67,31.987,0.814,CRITICAL
SHIP-2026-05650,84,4.23,0.05,0.098,LOW
SHIP-2026-05651,69,680.7,9.865,0.799,CRITICAL
SHIP-2026-05652,41,509.6,12.429,0.724,HIGH
SHIP-2026-05653,47,560.35,11.922,0.948,CRITICAL
SHIP-2026-05654,49,571.37,11.661,0.859,CRITICAL
SHIP-2026-05655,76,1314.27,17.293,0.802,CRITICAL
SHIP-2026-05656,45,790.73,17.572,0.812,CRITICAL
SHIP-2026-05657,64,1198.92,18.733,0.734,HIGH
SHIP-2026-05658,31,1391.15,44.876,0.859,CRITICAL
SHIP-2026-05659,50,1004.82,20.096,0.821,CRITICAL
SHIP-2026-05660,39,413.85,10.612,0.84,CRITICAL
SHIP-2026-05661,64,784.4,12.256,0.849,CRITICAL
SHIP-2026-05662,84,1352.7,16.104,0.826,CRITICAL
SHIP-2026-05663,99,542.58,5.481,0.99,CRITICAL
SHIP-2026-05664,47,1284.17,27.323,0.905,CRITICAL
SHIP-2026-05665,48,1144.77,23.849,0.939,CRITICAL
SHIP-2026-05666,71,613.43,8.64,0.765,CRITICAL
SHIP-2026-05667,29,959.57,33.089,0.859,CRITICAL
SHIP-2026-05668,44,1439.07,32.706,0.831,CRITICAL
SHIP-2026-05669,38,756.68,19.913,0.918,CRITICAL
SHIP-2026-05670,65,1286.08,19.786,0.792,CRITICAL
SHIP-2026-05671,49,713.38,14.559,0.827,CRITICAL
SHIP-2026-05672,39,1219.2,31.262,0.8,CRITICAL
SHIP-2026-05673,73,412.3,5.648,0.797,CRITICAL
SHIP-2026-05674,79,797.9,10.1,0.844,CRITICAL
SHIP-2026-05675,50,1219.0,24.38,0.934,CRITICAL
SHIP-2026-05676,79,1251.22,15.838,0.942,CRITICAL
SHIP-2026-05677,103,300.93,2.922,0.99,CRITICAL
SHIP-2026-05678,57,382.97,6.719,0.817,CRITICAL
SHIP-2026-05679,108,250.32,2.318,0.885,CRITICAL
SHIP-2026-05680,106,721.23,6.804,0.879,CRITICAL
SHIP-2026-05681,35,569.2,16.263,0.832,CRITICAL
SHIP-2026-05682,16,564.85,35.303,0.739,HIGH
SHIP-2026-05683,23,781.25,33.967,0.859,CRITICAL
SHIP-2026-05684,40,45.42,1.135,0.891,CRITICAL
SHIP-2026-05685,30,960.4,32.013,0.867,CRITICAL
SHIP-2026-05686,69,955.92,13.854,0.833,CRITICAL
SHIP-2026-05687,43,332.8,7.74,0.817,CRITICAL
SHIP-2026-05688,89,882.78,9.919,0.99,CRITICAL
SHIP-2026-05689,58,328.15,5.658,0.769,CRITICAL
SHIP-2026-05690,79,1344.82,17.023,0.778,CRITICAL
SHIP-2026-05691,51,650.45,12.754,0.809,CRITICAL
SHIP-2026-05692,39,479.9,12.305,0.944,CRITICAL
SHIP-2026-05693,28,142.82,5.101,0.766,CRITICAL
SHIP-2026-05694,95,11.52,0.121,0.056,LOW
SHIP-2026-05695,100,874.65,8.746,0.867,CRITICAL
SHIP-2026-05696,79,924.88,11.707,0.748,HIGH
SHIP-2026-05697,62,434.52,7.008,0.913,CRITICAL
SHIP-2026-05698,56,836.22,14.933,0.905,CRITICAL
SHIP-2026-05699,39,146.35,3.753,0.822,CRITICAL
SHIP-2026-05700,62,438.63,7.075,0.842,CRITICAL
SHIP-2026-05701,111,193.0,1.739,0.872,CRITICAL
SHIP-2026-05702,44,308.83,7.019,0.783,CRITICAL
SHIP-2026-05703,113,1049.57,9.288,0.93,CRITICAL
SHIP-2026-05704,61,397.28,6.513,0.873,CRITICAL
SHIP-2026-05705,60,262.3,4.372,0.819,CRITICAL
SHIP-2026-05706,43,1412.6,32.851,0.99,CRITICAL
SHIP-2026-05707,111,1068.87,9.629,0.99,CRITICAL
SHIP-2026-05708,71,778.72,10.968,0.836,CRITICAL
SHIP-2026-05709,73,234.0,3.205,0.88,CRITICAL
SHIP-2026-05710,59,774.63,13.129,0.806,CRITICAL
SHIP-2026-05711,24,326.5,13.604,0.937,CRITICAL
SHIP-2026-05712,20,803.22,40.161,0.852,CRITICAL
SHIP-2026-05713,82,47.62,0.581,0.123,LOW
SHIP-2026-05714,74,1130.58,15.278,0.836,CRITICAL
SHIP-2026-05715,97,1.28,0.013,0.11,LOW
SHIP-2026-05716,83,1016.53,12.247,0.754,CRITICAL
SHIP-2026-05717,56,487.73,8.709,0.844,CRITICAL
SHIP-2026-05718,46,411.98,8.956,0.884,CRITICAL
SHIP-2026-05719,71,942.7,13.277,0.845,CRITICAL
SHIP-2026-05720,73,171.1,2.344,0.9,CRITICAL
SHIP-2026-05721,21,924.78,44.037,0.916,CRITICAL
SHIP-2026-05722,33,589.75,17.871,0.99,CRITICAL
SHIP-2026-05723,25,262.22,10.489,0.742,HIGH
SHIP-2026-05724,56,572.4,10.221,0.84,CRITICAL
SHIP-2026-05725,54,777.1,14.391,0.927,CRITICAL
SHIP-2026-05726,22,1143.27,51.967,0.795,CRITICAL
SHIP-2026-05727,19,1123.38,59.125,0.767,CRITICAL
SHIP-2026-05728,57,823.42,14.446,0.829,CRITICAL
SHIP-2026-05729,62,1072.52,17.299,0.99,CRITICAL
SHIP-2026-05730,32,1403.78,43.868,0.791,CRITICAL
SHIP-2026-05731,31,137.32,4.43,0.726,HIGH
SHIP-2026-05732,40,391.67,9.792,0.811,CRITICAL
SHIP-2026-05733,112,224.82,2.007,0.863,CRITICAL
SHIP-2026-05734,58,1372.65,23.666,0.846,CRITICAL
SHIP-2026-05735,79,1004.25,12.712,0.882,CRITICAL
SHIP-2026-05736,101,363.3,3.597,0.862,CRITICAL
SHIP-2026-05737,87,313.93,3.608,0.929,CRITICAL
SHIP-2026-05738,18,174.07,9.671,0.801,CRITICAL
SHIP-2026-05739,101,374.68,3.71,0.901,CRITICAL
SHIP-2026-05740,103,1132.95,11.0,0.909,CRITICAL
SHIP-2026-05741,37,878.42,23.741,0.728,HIGH
SHIP-2026-05742,83,1026.45,12.367,0.924,CRITICAL
SHIP-2026-05743,61,1310.73,21.487,0.829,CRITICAL
SHIP-2026-05744,85,1092.2,12.849,0.988,CRITICAL
SHIP-2026-05745,92,1395.65,15.17,0.99,CRITICAL
